County,Census Tract GEOID,EnviroScreen Percentile Score,Pollution and Climate Burden Percentile Score,Health and Social Factors Percentile Score,Environmental Exposures Percentile Score,Environmental Effects Percentile Score,Climate Vulnerability Percentile Score,Sensitive Populations Percentile Score,Demographics Percentile Score,Air Toxics Emissions,Air Toxics Emissions (percentile),Diesel Particulate Matter (µg/m3),Diesel Particulate Matter (percentile),Drinking Water Regulations,Drinking Water Regulations (percentile),Lead Exposure Risk (percentage),Lead Exposure Risk (percentile),Noise (dba),Noise (percentile),Other Air Pollutants,Other Air Pollutants (percentile),Ozone (ppb),Ozone (percentile),Fine Particle Pollution (µg/m3),Fine Particle Pollution (percentile),Traffic Proximity and Volume,Traffic Proximity and Volume (percentile),Environmental Exposures Raw Score,Proximity to Hazardous Waste Facilities,Proximity to Hazardous Waste Facilities (percentile),Proximity to Mining Locations,Proximity to Mining Locations (percentile),Proximity to National Priorities List Sites,Proximity to National Priorities List Sites (percentile),Proximity to Oil and Gas,Proximity to Oil and Gas (percentile),Proximity to Risk Management Plan Sites,Proximity to Risk Management Plan Sites (percentile),Impaired Streams and Rivers,Impaired Streams and Rivers (percentile),Wastewater Discharge Indicator,Wastewater Discharge Indicator (percentile),Environmental Effects Raw Score,Drought,Drought (percentile),Floodplains (percent),Floodplains (percentile),Extreme Heat Days,Extreme Heat Days (percentile),Wildfire Risk,Wildfire Risk (percentile),Climate Vulnerability Raw Score,Asthma Hospitalization Rate,Asthma Hospitalization Rate (percentile),Cancer index (percent),Cancer index (percentile),Diabetes index,Diabetes index (percentile),Heart Disease in Adults (percent),Heart Disease in Adults (percentile),Life Expectancy (years),Life Expectancy (percentile),Low Birth Weight,Low Birth Weight (percentile),Mental Health Indicator,Mental Health Indicator (percentile),Population Over 64,Population Over 64 (percentile),Population Under 5,Population Under 5 (percentile),Sensitive Populations Raw Score,Housing Cost Burdened (decimal percent),Housing Cost Burdened (percentile),Disability (decimal percent),Disability (percentile),Less Than High School Education (decimal percent),Less Than High School Education (percentile),Linguistic Isolation (decimal percent),Linguistic Isolation (percentile),Low Income (decimal percent),Low Income (percentile),People of Color (decimal percent),People of Color (percentile),Demographics Raw Score,Health and Social Factors Raw Score,Pollution and Climate Burden Raw Score,EnviroScreen Raw Score,"Total Population Estimate (ACS 2018-2022)
",Shape_Length,Shape_Area
Adams County,08001007801,96.03340292,92.62352122,91.78844816,78.98399443,95.54627697,88.23938761,52.4704245,100,0.040375926,40.34948372,0.338408934,84.85059069,35.29411765,39.07284768,0.327868852,74.36908517,50.71852732,90.53213545,0.072859725,66.83238636,46.68660548,16.24049758,9.390021918,86.38562543,3083833.842,83.84401114,57.69233351,2.073401366,74.93112948,0,0,0.669702936,73.44173442,0,0,1.877369395,94.25385935,89.08748824,90.87635054,6998.31564,69.29518493,79.94874603,37.54789272,63.57982032,1.412232628,42.41071429,24.5,69.66136835,1266.166667,76.43400138,61.55571355,73.778,85.36209553,15.9312647,1.878914405,85.40858417,91.927627,64.86703226,67.57132916,74.4,93.38645418,12.745,87.02397743,24.7,98.67780097,0.056312677,7.067879636,0.051684238,53.48169419,40.63411402,0.588509317,98.67039888,0.169452301,85.40502793,0.449957228,99.92816092,0.322981366,100,0.791428571,99.51083159,0.800205708,98.18941504,96.80152689,0.588509317,64.22228165,72.27507998,3889,0.044933147,6.74E-05
Adams County,08001007802,96.45093946,98.60821155,87.47390397,85.66457898,93.66736256,98.32985386,63.88308977,95.19832985,0.062495416,49.80142971,0.435366328,90.41000695,35.29411765,39.07284768,0.353341584,76.1829653,49.02361012,84.58880442,0.197166203,85.65340909,46.75207671,17.89910159,9.396958904,86.73116793,2799872.35,80.57103064,61.25751126,2.447663994,80.07346189,0,0,0.559195805,69.78319783,0,0,1.58035246,91.16638079,0,0,8375.140546,72.22609909,77.88289501,37.54789272,63.57982032,0,0,24.5,69.66136835,1412.818182,85.97097443,72.480478,88.426,90.36979969,15.51372816,1.600556715,92.29793699,97.00765484,85.70906427,93.38900487,74.3,93.70517928,13.873,92.03102962,22,96.31176061,0.066987841,9.797060882,0.09405827,92.10337401,46.32269882,0.514397906,95.5913226,0.092435043,39.17597765,0.332691567,98.20402299,0.322643979,99.89247312,0.521269257,94.75890985,0.864418445,99.02506964,83.73575269,0.514397906,68.21959889,72.65260964,4359,0.04462347,6.70E-05
Adams County,08001007900,98.7473904,98.81697982,93.94572025,86.0125261,97.00765484,95.61586639,96.10299235,85.66457898,0.09762286,59.41223193,0.345082078,85.82348853,35.29411765,39.07284768,0.52,86.19873817,49.06435871,84.93434692,0.1632256,81.74715909,46.64479178,14.58189357,9.413230137,87.14581894,2896339.793,81.545961,61.37426848,2.061384688,74.74747475,0,0,0.692192269,74.93224932,0,0,2.094690502,96.1406518,89.08748824,90.87635054,8800.094864,73.34263782,81.46966905,37.54789272,63.57982032,3.306419149,66.2202381,24.5,69.66136835,1309.625,78.99101589,69.37770568,113.137,94.83821263,58.90273303,60.54279749,85.47817359,91.99721642,92.59841709,98.39944328,69.8,99.3625498,13.071,88.71650212,21.9,96.03340292,0.069539667,10.63680896,0.075579497,81.47882268,69.56146953,0.401890189,78.16655003,0.072971204,22.62569832,0.292830785,97.27011494,0.116561656,94.30107527,0.401567091,85.46470999,0.748122755,96.03064067,71.45828847,0.401890189,68.39897792,78.9828963,6126,0.059437166,0.000172157
Adams County,08001008000,99.93041058,99.86082116,98.7473904,92.83228949,96.65970772,97.2164231,98.46903271,94.91997216,0.164804844,69.02303415,0.437536221,90.75747047,35.29411765,39.07284768,0.605706268,90.69400631,48.59289367,82.23911541,0.400938376,95.38352273,46.70327397,16.65514858,9.422126027,87.56046994,2612348.918,78.96935933,64.76721623,2.437295274,79.7979798,0,0,0.605077613,71.6802168,0,0,1.888195531,94.33962264,0,0,12517.92693,80.18143754,81.10353707,37.54789272,63.57982032,0,0,24.5,69.66136835,1328.64,80.3040774,70.85159499,123.263,95.76271186,59.59862726,62.76965901,70.62083191,71.67710508,92.3200594,98.19067502,77.2,78.00796813,11.028,72.70803949,18.6,80.93249826,0.154780496,53.18404479,0.067499566,73.51040919,75.09254591,0.41207076,81.1056683,0.142287003,74.02234637,0.197057278,91.1637931,0.068158169,85.69892473,0.34280237,76.72955975,0.692174215,93.94150418,83.46518078,0.41207076,70.37239113,91.36780599,5763,0.059629834,0.000205567
Adams County,08001008100,85.03827418,94.15448852,66.31871955,74.39109255,98.19067502,92.97146834,26.86151705,84.69032707,0.021378051,29.07069102,0.434764801,90.27102154,35.29411765,39.07284768,0,0,48.32480902,79.8894264,0.178354817,83.45170455,46.78884932,19.1430546,9.414386301,87.21492744,2686543.559,79.59610028,55.56318634,3.899798734,97.06152433,0,0,0.5323653,67.88617886,0,0,1.639806855,92.19554031,0,0,18395.64989,86.25261689,85.08003628,37.54789272,63.57982032,2.132979477,52.82738095,25,76.77954388,1211.025,73.53144437,65.98941073,52.824,72.65023112,20.10663004,4.314544189,77.92772126,82.88100209,90.58032384,97.42519137,80.9,39.0438247,7.018,17.70098731,19.1,84.75991649,0.130824373,40.93771868,0.008363202,2.297200287,28.87251135,0.741935484,99.79006298,0.136986301,70.87988827,0.034482759,35.27298851,0.042183623,70.43010753,0.533513879,95.80712788,0.436081243,74.51253482,70.75215647,0.741935484,65.54895493,53.47319531,1674,0.071693319,0.000285812
Adams County,08001008200,93.80654141,99.44328462,81.14126653,87.40431454,92.06680585,99.44328462,88.72651357,72.3729993,0.100889342,60.20651311,0.433029751,90.13203614,35.29411765,39.07284768,0.339371981,75.39432177,47.95485662,77.05597789,0.284393832,91.12215909,46.70789315,16.93158258,9.469021918,88.73531444,2700019.32,79.73537604,61.95380391,2.511296632,80.80808081,0,0,0.55117547,68.83468835,0,0,1.777585117,93.73927959,70.74317968,51.62064826,35636.22498,93.99860433,75.96713061,37.54789272,63.57982032,11.56485839,94.19642857,24.75,71.73462336,1306.137931,78.78369039,76.27456139,98.26,92.14175655,56.46710325,54.76687543,93.55054659,97.70354906,85.11755418,92.90187891,76.6,81.83266932,10.886,71.72073343,17.4,66.73625609,0.059749816,7.697690693,0.088153054,89.16008615,61.35066551,0.27195639,37.71868439,0.076980125,25.55865922,0.226042429,94.1091954,0.069654755,86.12903226,0.226490656,52.62054507,0.769977925,96.86629526,58.43872213,0.27195639,69.03732495,67.71825803,6795,0.108485177,0.000472935
Adams County,08001008308,95.9638135,92.83228949,91.16214335,82.25469729,92.27557411,88.79610299,88.93528184,88.72651357,0.135671444,65.05162828,0.372932643,87.00486449,35.29411765,39.07284768,0.057509506,40.77287066,48.41468042,80.5805114,0.344365962,93.60795455,46.80191781,19.8341396,9.430852055,87.90601244,2735642.575,80.01392758,59.59957354,2.729563314,84.94031221,0,0,0.354896094,54.87804878,0,0,1.317480234,87.65008576,82.59642521,75.75030012,14681.85954,83.04256804,76.20614587,37.54789272,63.57982032,1.483623658,43.45238095,24.75,71.73462336,1225.789474,74.36074637,61.95856623,62.508,80.04622496,45.71553749,34.09881698,84.39953755,91.16214335,86.30057437,94.29366736,72.3,97.60956175,10.691,69.32299013,21,93.94572025,0.065220963,9.377186844,0.089206506,89.51902369,61.46438364,0.558206107,97.62071379,0.069798214,19.62290503,0.336024499,98.41954023,0.120229008,94.7311828,0.567603089,97.34451433,0.835551175,98.81615599,74.55953116,0.558206107,64.3409648,71.66486989,6087,0.11263781,0.000453181
Adams County,08001008309,93.45859429,86.0125261,90.95337509,69.17188587,88.58733473,90.25748086,89.1440501,88.5177453,0.069747606,51.86656076,0.302333836,78.7352328,35.29411765,39.07284768,0.023201856,23.50157729,47.70022326,74.77539737,0.182794442,83.87784091,46.90079452,22.52937111,9.383134247,86.17829993,1980923.901,70.96100279,52.89323747,2.140671326,75.66574839,0,0,0.214654833,38.75338753,0,0,1.270994777,86.79245283,82.59642521,75.75030012,30497.78685,92.04466155,70.76439299,37.54789272,63.57982032,2.458366614,56.99404762,24.75,71.73462336,1018.648485,62.19765031,63.4107514,101.355,92.52696456,58.76355419,60.19485038,53.57142342,49.0605428,69.11198703,73.69519833,75,90.51792829,11.254,74.61212976,22.1,96.52052888,0.07690387,13.64590623,0.064669164,70.71069634,61.54366859,0.284109149,42.05738279,0.112206217,54.60893855,0.375641026,98.99425287,0.203852327,99.46236559,0.348446894,77.35849057,0.772284644,96.93593315,74.39799893,0.284109149,59.99040483,66.77868513,4005,0.147946955,0.001264511
Adams County,08001008354,47.32080724,44.74599861,41.26652749,29.71468337,49.40848991,83.2289492,32.9157968,50.03479471,0.937685183,90.78633836,0.198840008,59.13829048,35.29411765,39.07284768,0.001845018,0.552050473,43.15965005,37.73324119,0.10423894,74.21875,47.16440822,31.72080166,9.1216,77.40152039,868597.3732,45.26462396,32.0859443,1.525654236,63.54453627,0.016824562,4.044630404,0.341074704,53.79403794,30.33038664,51.06951872,0.60185955,62.52144082,115.8513641,98.91956783,1909.728982,41.17236567,40.53444979,37.54789272,63.57982032,5.084100322,80.20833333,24.5,69.66136835,574.0578735,34.89979267,59.33875214,133.291,96.37904468,12.97371424,0.835073069,87.25270386,93.73695198,49.31379636,44.60681976,79.4,56.4940239,10.773,70.59238364,17.2,63.81350035,0.051940053,5.528341498,0.06015192,65.32663317,31.54501986,0.210283454,13.99580126,0.086019298,33.10055866,0.110704483,76.79597701,0.049439684,75.91397849,0.098542394,17.54018169,0.797372203,98.05013928,40.84722923,0.210283454,41.01127263,24.31077443,4871,0.609143533,0.011415709
Adams County,08001008355,88.03061935,77.87056367,88.03061935,52.05288796,82.32428671,89.83994433,79.40153097,89.35281837,0.78518468,88.56235107,0.181542223,53.02293259,35.29411765,39.07284768,0.007111597,7.728706625,46.24567438,60.2626123,0.107703615,75.21306818,47.07713151,28.54181064,9.254824658,82.17000691,1239537.084,56.9637883,45.63671913,2.513504272,80.89990817,0,0,0.221825282,39.43089431,0,0,0.869875375,74.78559177,0,0,6664.31758,68.03907886,63.47317955,37.54789272,63.57982032,0,0,25,76.77954388,871.6346154,51.96959226,63.30500457,50.23,70.10785824,38.304264,21.99025748,87.70503511,94.0848991,50.07928,45.85942937,79.4,56.4940239,12.342,84.1325811,18.9,83.43771747,0.093628594,22.11336599,0.087606838,88.58578607,55.7085062,0.437089716,86.21413576,0.113048589,55.51675978,0.128151884,81.75287356,0.051422319,77.84946237,0.287684538,66.80642907,0.621212121,89.83286908,75.33598319,0.437089716,54.5129056,58.49538072,5148,0.092903421,0.000374309
