zipcode,school_district
00601,Puerto Rico Department of Education
00602,Puerto Rico Department of Education
00603,Puerto Rico Department of Education
00606,Puerto Rico Department of Education
00610,Puerto Rico Department of Education
00611,Puerto Rico Department of Education
00612,Puerto Rico Department of Education
00616,Puerto Rico Department of Education
00617,Puerto Rico Department of Education
00622,Puerto Rico Department of Education
00623,Puerto Rico Department of Education
00624,Puerto Rico Department of Education
00627,Puerto Rico Department of Education
00631,Puerto Rico Department of Education
00636,Puerto Rico Department of Education
00637,Puerto Rico Department of Education
00638,Puerto Rico Department of Education
00641,Puerto Rico Department of Education
00646,Puerto Rico Department of Education
00647,Puerto Rico Department of Education
00650,Puerto Rico Department of Education
00652,Puerto Rico Department of Education
00653,Puerto Rico Department of Education
00656,Puerto Rico Department of Education
00659,Puerto Rico Department of Education
00660,Puerto Rico Department of Education
00662,Puerto Rico Department of Education
00664,Puerto Rico Department of Education
00667,Puerto Rico Department of Education
00669,Puerto Rico Department of Education
00670,Puerto Rico Department of Education
00674,Puerto Rico Department of Education
00676,Puerto Rico Department of Education
00677,Puerto Rico Department of Education
00678,Puerto Rico Department of Education
00680,Puerto Rico Department of Education
00682,Puerto Rico Department of Education
00683,Puerto Rico Department of Education
00685,Puerto Rico Department of Education
00687,Puerto Rico Department of Education
00688,Puerto Rico Department of Education
00690,Puerto Rico Department of Education
00692,Puerto Rico Department of Education
00693,Puerto Rico Department of Education
00694,Puerto Rico Department of Education
00698,Puerto Rico Department of Education
00703,Puerto Rico Department of Education
00704,Puerto Rico Department of Education
00705,Puerto Rico Department of Education
00707,Puerto Rico Department of Education
00714,Puerto Rico Department of Education
00715,Puerto Rico Department of Education
00716,Puerto Rico Department of Education
00717,Puerto Rico Department of Education
00718,Puerto Rico Department of Education
00719,Puerto Rico Department of Education
00720,Puerto Rico Department of Education
00723,Puerto Rico Department of Education
00725,Puerto Rico Department of Education
00727,Puerto Rico Department of Education
00728,Puerto Rico Department of Education
00729,Puerto Rico Department of Education
00730,Puerto Rico Department of Education
00731,Puerto Rico Department of Education
00735,Puerto Rico Department of Education
00736,Puerto Rico Department of Education
00738,Puerto Rico Department of Education
00739,Puerto Rico Department of Education
00740,Puerto Rico Department of Education
00741,Puerto Rico Department of Education
00745,Puerto Rico Department of Education
00751,Puerto Rico Department of Education
00754,Puerto Rico Department of Education
00757,Puerto Rico Department of Education
00765,Puerto Rico Department of Education
00766,Puerto Rico Department of Education
00767,Puerto Rico Department of Education
00769,Puerto Rico Department of Education
00771,Puerto Rico Department of Education
00772,Puerto Rico Department of Education
00773,Puerto Rico Department of Education
00775,Puerto Rico Department of Education
00777,Puerto Rico Department of Education
00778,Puerto Rico Department of Education
